アンドロメダ,0,40,38
ポンプ,10,0,-35
ふうちょう,16,0,-76
わし,19,30,2
みずがめ,22,20,-13
さいだん,17,10,-55
おひつじ,2,30,20
ぎょしゃ,6,0,42
うしかい,14,35,30
ちょうこくぐ,4,50,-38
きりん,5,40,70
やぎ,20,50,-20
りゅうこつ,8,40,-62
カシオペヤ,1,0,60
ケンタウルス,13,20,-47
ケフェウス,22,0,70
くじら,1,45,-12
カメレオン,10,40,-78
コンパス,14,50,-63
おおいぬ,6,40,-24
こいぬ,7,30,6
かに,8,30,20
はと,5,40,-34
かみのけ,12,40,23
みなみのかんむり,18,30,-41
かんむり,15,40,30
コップ,11,20,-15
みなみじゅうじ,12,20,-60
からす,12,20,-18
りょうけん,13,0,40
はくちょう,20,30,43
いるか,20,40,12
かじき,5,0,-60
りゅう,17,0,60
こうま,21,10,6
エリダヌス,3,50,-30
ろ,2,30,-33
ふたご,7,0,22
つる,22,20,-47
ヘルクレス,17,10,27
とけい,3,20,-52
うみへび,10,30,-20
みずへび,2,40,-70
インディアン,21,20,-58
とかげ,22,25,43
しし,10,30,15
うさぎ,5,25,-20
てんびん,15,10,-14
こじし,10,20,33
おおかみ,15,0,-40
やまねこ,7,50,45
こと,18,45,36
テーブルさん,5,40,-77
けんびきょう,20,50,-37
いっかくじゅう,7,0,-3
はえ,12,30,-70
じょうぎ,16,0,-50
はちぶんぎ,21,0,-87
へびつかい,17,10,-5
オリオン,5,20,3
くじゃく,19,10,-65
ペガスス,22,30,17
ペルセウス,3,20,42
ほうおう,1,0,-48
がか,5,30,-52
みなみのうお,22,10,-32
うお,0,20,10
とも,7,40,-32
らしんばん,8,50,-28
レチクル,3,50,-63
ちょうこくしつ,0,30,-35
さそり,16,30,-29
たて,18,35,-10
へび(頭),15,35,10
へび(尾),18,0,-5
ろくぶんぎ,10,10,-1
や,19,40,18
いて,19,0,-25
おうし,4,30,18
ぼうえんきょう,19,0,-52
みなみのさんかく,15,40,-65
さんかく,2,0,32
きょしちょう,23,45,-68
おおぐま,11,0,58
こぐま,15,40,78
ほ,9,30,-45
おとめ,13,20,-2
とびうお,7,40,-69
こぎつね,20,10,25
